et celui la ? 
:
# PHASE 1 : Algorithmes et Structures de Données (Weeks 19-34, 1120h, 16000 XP)

---

## Vue d'ensemble Phase 1

| Module | Semaines | Heures | XP | Contenu Principal |
|--------|----------|--------|-----|-------------------|
| 1.1 | 19-20 | 140h | 2000 | Arrays, Sorting & Searching |
| 1.2 | 21-22 | 140h | 2000 | Hash Tables & Strings |
| 1.3 | 23-24 | 140h | 2000 | Trees & Advanced Tree Structures |
| 1.4 | 25-26 | 140h | 2000 | Graphs |
| 1.5 | 27-28 | 140h | 2000 | Dynamic Programming |
| 1.6 | 29-30 | 140h | 2000 | Number Theory & Mathematics |
| 1.7 | 31-32 | 140h | 2000 | Advanced Algorithms & Techniques |
| 1.8 | 33-34 | 140h | 2000 | Testing, Quality & Competition Prep |
| **TOTAL** | **16 sem** | **1120h** | **16000** | **Algorithmes & DS Complets** |

---

## Module 1.1 : Arrays, Sorting & Searching (Weeks 19-20, 140h, 2000 XP)

### Sous-module 1.1.1 : Révision Architecture Mémoire
| # | Sous-sous-module | Contenu |
| h | Inverse bind matrix | Skin calculation |
| i | Local transform | Relative to parent |
| j | World transform | Absolute position |
| k | Skeleton loading | From FBX, glTF |
| l | Skeleton sharing | Multiple meshes |
| m | Skeleton LOD | Reduce bones far |
| n | Common bones | Spine, pelvis, arms, legs |
| o | Humanoid rig | Standard skeleton |
| p | Retargeting | Animation sharing |

### Sous-module 3.3.3 : Skinning
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Skinning concept | Mesh follows bones |
| b | Vertex weights | Bone influence |
| c | Max influences | Typically 4 per vertex |
| d | Weight normalization | Sum to 1.0 |
| e | Bone indices | Which bones affect |
| f | Skinning matrix | Final transform |
| g | Linear blend skinning | Standard method |
| h | LBS artifacts | Candy wrapper |
| i | Dual quaternion skinning | Better bending |
| j | CPU skinning | Software |
| k | GPU skinning | Vertex shader |
| l | Compute skinning | Compute shader |
| m | Bone matrices UBO | Upload to GPU |
| n | Skinned bounds | AABB update |

### Sous-module 3.3.4 : Animation Clip System
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Animation clip | Container for curves |
| b | Animation curve | Value over time |
| c | Keyframe | Time + value |
| d | Interpolation | Between keyframes |
| e | Linear interpolation | Lerp |
| f | Step interpolation | No smoothing |
| g | Cubic interpolation | Bezier curves |
| h | Position curves | vec3 translation |
| i | Rotation curves | Quaternion rotation |
| j | Scale curves | vec3 scale |
| k | Euler vs quaternion | Gimbal lock |
| l | Quaternion slerp | Spherical interpolation |
| m | Clip duration | Total length |
| n | Clip sample rate | FPS of animation |
| o | Animation compression | Reduce size |
| p | Curve compression | Remove redundant |
| q | Quantization | Reduce precision |

### Sous-module 3.3.5 : Animation Playback
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Animation player | Plays clips |
| b | Current time | Position in clip |
| c | Play | Start playback |
| d | Pause | Freeze time |
| e | Stop | Reset to start |
| f | Speed | Playback rate |
| g | Reverse | Negative speed |
| h | Loop mode | Once, loop, ping-pong |
| i | Time update | Advance by dt |
| j | Time wrapping | Handle loop |
| k | Pose evaluation | Sample at time |
| l | Bone transforms | Output of sample |
| m | Root motion | Extract movement |

### Sous-module 3.3.6 : Animation Blending
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Blending concept | Mix animations |
| b | Blend weight | 0.0 to 1.0 |
| c | Two-way blend | A and B |
| d | Multi-way blend | N animations |
| e | Additive blending | Add on top |
| f | Override blending | Replace |
| g | Pose lerp | Interpolate transforms |
| h | Position blend | Lerp positions |
| i | Rotation blend | Slerp quaternions |
| j | Scale blend | Lerp scales |
| k | Blend tree | Hierarchical blending |
| l | 1D blend space | Single parameter |
| m | 2D blend space | Two parameters |
| n | Directional blend | Movement direction |
| o | Speed blend | Walk to run |

### Sous-module 3.3.7 : Animation State Machine
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | State machine concept | Animation flow |
| b | Animation state | Current animation |
| c | State transitions | Change conditions |
| d | Transition duration | Blend time |
| e | Transition curve | Blend curve |
| f | Entry state | Default state |
| g | Any state | Global transitions |
| h | Exit state | Sub-machine exit |
| i | Sub-state machine | Nested FSM |
| j | State parameters | Input values |
| k | Bool parameters | True/false |
| l | Float parameters | Continuous |
| m | Trigger parameters | One-shot |
| n | Conditions | Transition rules |
| o | Priority | Transition order |
| p | Interruption | Cancel transition |
| q | State events | OnEnter, OnExit |
| r | Visual editor | Graph-based |

### Sous-module 3.3.8 : Animation Layers
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Layer concept | Separate animation tracks |
| b | Base layer | Full body |
| c | Override layer | Replace bones |
| d | Additive layer | Add motion |
| e | Layer weight | Influence |
| f | Layer mask | Which bones |
| g | Upper body layer | Arms, torso |
| h | Lower body layer | Legs |
| i | Face layer | Facial animation |
| j | Layer blending | Combine layers |
| k | Layer priority | Order |
| l | Sync layers | Same timing |

### Sous-module 3.3.9 : Root Motion
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Root motion concept | Animation-driven movement |
| b | Root bone | Motion source |
| c | Extract translation | Position delta |
| d | Extract rotation | Rotation delta |
| e | Apply to character | Move entity |
| f | Root motion vs in-place | When to use |
| g | Ground alignment | Match terrain |
| h | Root motion curves | Authored movement |
| i | Warping | Adjust to target |
| j | Motion matching | Advanced system |

### Sous-module 3.3.10 : Inverse Kinematics (IK)
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | IK concept | Target-driven posing |
| b | FK vs IK | Forward vs inverse |
| c | End effector | Target point |
| d | IK chain | Bones to solve |
| e | Two-bone IK | Simple arm/leg |
| f | CCD IK | Cyclic Coordinate Descent |
| g | FABRIK | Forward And Backward Reaching |
| h | Analytical IK | Closed-form solution |
| i | IK target | Position goal |
| j | IK pole | Bend direction |
| k | IK weight | Blend with FK |
| l | Foot IK | Ground alignment |
| m | Hand IK | Object grabbing |
| n | Look-at IK | Head tracking |
| o | Full-body IK | Complex chains |

### Sous-module 3.3.11 : Procedural Animation
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Procedural concept | Code-generated motion |
| b | Noise animation | Perlin movement |
| c | Spring dynamics | Bounce, wobble |
| d | Pendulum | Hanging objects |
| e | Breathing | Chest expansion |
| f | Blinking | Eye animation |
| g | Secondary motion | Follow-through |
| h | Aim offset | Weapon aiming |
| i | Leaning | Turn anticipation |
| j | Head look | Track target |
| k | Tail physics | Chain simulation |
| l | Hair physics | Strand simulation |
| m | Cloth integration | Physics-driven |

### Sous-module 3.3.12 : Facial Animation
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Facial rig | Face bones |
| b | Blend shapes | Morph targets |
| c | FACS | Facial Action Coding System |
| d | Visemes | Speech shapes |
| e | Lip sync | Audio-driven |
| f | Eye tracking | Look direction |
| g | Blink | Eyelid animation |
| h | Eyebrow | Expression |
| i | Emotion presets | Happy, sad, angry |
| j | Blend shape weights | Per-shape control |
| k | Facial layers | Additive expressions |
| l | Performance capture | Mocap data |

### Sous-module 3.3.13 : Animation Events
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Event concept | Trigger at time |
| b | Event types | Sound, effect, callback |
| c | Footstep events | Play sound |
| d | Attack events | Damage window |
| e | Effect spawn | Particle trigger |
| f | Notify | Game logic trigger |
| g | Event timing | Frame or normalized |
| h | Event data | Payload |
| i | Event handling | Callback system |
| j | Animation notify state | Duration events |

### Sous-module 3.3.14 : Animation Compression
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Why compress | Memory, loading |
| b | Keyframe reduction | Remove redundant |
| c | Curve fitting | Approximate |
| d | Quantization | Reduce precision |
| e | Position quantization | 16-bit per axis |
| f | Rotation quantization | Smallest three |
| g | Scale quantization | 16-bit |
| h | Delta compression | Difference encoding |
| i | ACL library | Animation Compression Library |
| j | Error metrics | Quality measurement |
| k | Compression ratio | Size reduction |
| l | Decompression speed | Runtime cost |

### Sous-module 3.3.15 : Animation LOD
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Animation LOD concept | Distance-based quality |
| b | Bone LOD | Reduce bones |
| c | Update rate LOD | Lower frequency |
| d | Blend LOD | Simpler blending |
| e | IK LOD | Disable far |
| f | Culled animation | Off-screen |
| g | Importance | Priority |
| h | LOD transitions | Smooth switch |

### Sous-module 3.3.16 : Animation Retargeting
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Retargeting concept | Animation on different skeleton |
| b | Bone mapping | Source to target |
| c | Proportion differences | Height, limb length |
| d | Reference pose | T-pose, A-pose |
| e | Rotation retargeting | Preserve orientation |
| f | Position retargeting | Preserve contact |
| g | Root motion retargeting | Preserve movement |
| h | IK fixup | Ground contact |
| i | Humanoid standard | Universal mapping |

### Sous-module 3.3.17 : Animation Pipeline Integration
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Animation import | From DCC tools |
| b | FBX animation | Autodesk format |
| c | glTF animation | Modern format |
| d | Animation preview | Editor playback |
| e | Animation browser | Asset list |
| f | Animation graph editor | Visual FSM |
| g | Blend space editor | 2D visualization |
| h | IK setup | Configure chains |
| i | Animation baking | Offline processing |
| j | Runtime format | Optimized data |

### Tests : Animation Validation
| # | Test | Contenu |
|---|------|---------|
| a | Skeleton loading | All rigs load |
| b | Skinning accuracy | Visual correctness |
| c | Blend transitions | Smooth blending |
| d | IK accuracy | Reach targets |
| e | State machine | Correct flow |
| f | Animation events | Fire correctly |
| g | Performance | 100 characters |
| h | Compression | Quality vs size |
| i | Retargeting | Cross-skeleton |
| j | Root motion | Accurate movement |

### LeetCode Animation (Vendredi 10h)
| # | Problème | Difficulté |
|---|----------|------------|
| a | LC 70 Climbing Stairs | Easy |
| b | LC 509 Fibonacci Number | Easy |
| c | LC 1137 N-th Tribonacci | Easy |
| d | Quaternion operations | Custom |
| e | Curve interpolation | Custom |
| f | Tree traversal (skeleton) | Custom |

### PROJET 3.3 : Complete Animation System (Samedi-Dimanche 32h)
| # | Feature | Contenu |
|---|---------|---------|
| a | Skeleton system | Load, hierarchy |
| b | GPU skinning | Vertex shader |
| c | Animation clips | Load, sample |
| d | Animation playback | Play, pause, loop |
| e | Animation blending | Smooth transitions |
| f | Blend spaces | 1D and 2D |
| g | Animation state machine | Visual graph |
| h | Animation layers | Upper/lower body |
| i | Root motion | Extract and apply |
| j | Two-bone IK | Arms, legs |
| k | Foot IK | Ground alignment |
| l | Look-at IK | Head tracking |
| m | Animation events | Footsteps, attacks |
| n | Animation compression | ACL integration |
| o | Procedural | Breathing, blinking |
| p | Bonus : FABRIK | Multi-bone IK |
| q | Bonus : Facial | Blend shapes |
| r | Bonus : Retargeting | Skeleton mapping |

---

## Module 3.4 : Audio System (Weeks 53-54, 140h, 2000 XP)

### Sous-module 3.4.1 : Audio Fundamentals
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Digital audio | Samples, sample rate |
| b | Sample rate | 44.1kHz, 48kHz |
| c | Bit depth | 16-bit, 24-bit, float |
| d | Channels | Mono, stereo, surround |
| e | Audio formats | WAV, OGG, MP3, FLAC |
| f | PCM | Uncompressed audio |
| g | Compressed audio | Lossy, lossless |
| h | Audio buffer | Sample storage |
| i | Latency | Delay from trigger to hear |
| j | Buffer size | Latency vs stability |

### Sous-module 3.4.2 : Audio Engine Architecture
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Audio thread | Separate processing |
| b | Audio callback | Fill buffer |
| c | Mixer | Combine sources |
| d | Voice | Single sound instance |
| e | Voice pool | Max concurrent |
| f | Voice stealing | Replace when full |
| g | Priority system | Important sounds |
| h | Audio bus | Group routing |
| i | Master bus | Final output |
| j | Submix | Category grouping |
| k | Send/return | Effects routing |

### Sous-module 3.4.3 : Audio APIs
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
| a | Low-level APIs | Direct hardware |
| b | OpenAL | Cross-platform |
| c | XAudio2 | Windows |
| d | WASAPI | Windows low-level |
| e | Core Audio | macOS/iOS |
| f | ALSA | Linux |
| g | High-level engines | FMOD, Wwise |
| h | FMOD | Popular middleware |
| i | Wwise | AAA standard |
| j | miniaudio | Lightweight |
| k | SoLoud | Open-source |
| l | API abstraction | Backend interface |

### Sous-module 3.4.4 : Sound Loading & Streaming
| # | Sous-sous-module | Contenu |
|---|------------------|---------|
